# ECG Data Recording
# Format: sample_number,time(s),voltage(V)
# Sample rate: ~200 Hz
# Target duration: 10 seconds
0,0.000001,1.960000
1,0.006643,1.668000
2,0.013765,1.496000
3,0.020859,2.202000
4,0.027914,1.626000
5,0.034955,1.430000
6,0.041998,1.822000
7,0.049053,1.186000
8,0.056120,1.370000
9,0.063179,1.732000
10,0.070229,1.198000
11,0.077282,1.632000
12,0.084325,1.762000
13,0.091368,1.276000
14,0.098409,1.860000
15,0.105451,1.732000
16,0.112498,1.312000
17,0.119541,1.994000
18,0.126581,1.642000
19,0.133645,1.352000
20,0.140701,2.040000
21,0.147754,1.558000
22,0.154800,1.474000
23,0.161843,2.044000
24,0.168883,1.496000
25,0.175922,1.636000
26,0.182964,2.008000
27,0.190003,1.446000
28,0.197057,1.804000
29,0.204102,1.958000
30,0.211150,1.430000
31,0.218191,1.972000
32,0.225239,1.894000
33,0.232284,1.452000
34,0.239324,2.124000
35,0.246367,1.818000
36,0.253413,1.490000
37,0.260453,2.202000
38,0.267489,1.728000
39,0.274531,1.558000
40,0.281572,2.156000
41,0.288616,1.578000
42,0.295691,1.640000
43,0.302744,2.040000
44,0.310277,1.410000
45,0.317327,1.788000
46,0.324369,1.866000
47,0.331410,1.318000
48,0.338447,1.878000
49,0.345486,1.722000
50,0.352525,1.272000
51,0.359564,1.956000
52,0.366605,1.594000
53,0.373642,1.286000
54,0.380683,1.986000
55,0.387720,1.494000
56,0.394760,1.386000
57,0.401801,1.978000
58,0.408840,1.416000
59,0.415881,1.546000
60,0.422941,1.952000
61,0.429988,1.384000
62,0.437037,1.748000
63,0.444124,1.920000
64,0.451177,1.372000
65,0.458225,1.918000
66,0.465267,1.834000
67,0.472307,1.370000
68,0.479349,2.038000
69,0.486391,1.718000
70,0.493432,1.366000
71,0.500471,2.066000
72,0.507512,1.590000
73,0.514551,1.430000
74,0.521591,2.044000
75,0.528631,1.486000
76,0.535672,1.562000
77,0.542708,1.998000
78,0.549748,1.412000
79,0.556790,1.702000
80,0.563828,1.920000
81,0.570868,1.352000
82,0.577906,1.830000
83,0.584947,1.810000
84,0.591997,1.306000
85,0.599041,1.934000
86,0.606081,1.660000
87,0.613120,1.262000
88,0.620158,1.966000
89,0.627198,1.526000
90,0.634237,1.308000
91,0.641274,1.968000
92,0.648319,1.430000
93,0.655365,1.434000
94,0.662403,1.930000
95,0.669443,1.354000
96,0.676483,1.592000
97,0.683519,1.878000
98,0.690559,1.296000
99,0.697599,1.732000
100,0.704664,1.782000
101,0.711712,1.260000
102,0.718758,1.868000
103,0.725801,1.664000
104,0.732841,1.240000
105,0.739882,1.942000
106,0.746921,1.538000
107,0.753956,1.268000
108,0.760997,1.960000
109,0.768035,1.446000
110,0.775077,1.394000
111,0.782118,1.956000
112,0.789158,1.392000
113,0.796235,1.584000
114,0.803300,1.930000
115,0.810351,1.350000
116,0.817393,1.752000
117,0.824434,1.860000
118,0.831476,1.318000
119,0.838516,1.884000
120,0.845562,1.736000
121,0.852606,1.266000
122,0.859648,1.942000
123,0.866685,1.564000
124,0.873725,1.244000
